signal with carrier,baseband signal,x
0,0,0
0.00203274,0.0078539,1
0.00785366,0.0157073,2
0.0166593,0.0235598,3
0.0272025,0.0314108,4
0.0379221,0.0392598,5
0.0471065,0.0471065,6
0.0530778,0.0549502,7
0.0543782,0.0627905,8
0.0499408,0.070627,9
0.0392295,0.0784591,10
0.0223326,0.0862864,11
8.45029e-12,0.0941083,12
-0.02638,0.101924,13
-0.0548672,0.109734,14
-0.0831115,0.117537,15
-0.108542,0.125333,16
-0.128585,0.133121,17
-0.140901,0.140901,18
-0.143607,0.148672,19
-0.135476,0.156434,20
-0.116098,0.164187,21
-0.0859646,0.171929,22
-0.0464996,0.179661,23
-3.36511e-11,0.187381,24
0.0504931,0.19509,25
0.101394,0.202787,26
0.148826,0.210472,27
0.188918,0.218143,28
0.218107,0.225801,29
0.233445,0.233445,30
0.232861,0.241075,31
0.215372,0.24869,32
0.181224,0.256289,33
0.131937,0.263873,34
0.070254,0.27144,35
7.51545e-11,0.278991,36
-0.074158,0.286525,37
-0.14702,0.29404,38
-0.21322,0.301538,39
-0.267617,0.309017,40
-0.305693,0.316477,41
-0.323917,0.323917,42
-0.320048,0.331338,43
-0.293356,0.338738,44
-0.244742,0.346117,45
-0.176737,0.353475,46
-0.0933847,0.360811,47
-1.3222e-10,0.368125,48
0.0971647,0.375416,49
0.191342,0.382683,50
0.275721,0.389928,51
0.34394,0.397148,52
0.390566,0.404344,53
0.411514,0.411514,54
0.404394,0.41866,55
0.368736,0.425779,56
0.306087,0.432873,57
0.21997,0.439939,58
0.115687,0.446979,59
2.03826e-10,0.45399,60
-0.119309,0.460974,61
-0.233965,0.46793,62
-0.335774,0.474856,63
-0.417211,0.481754,64
-0.471972,0.488621,65
-0.495459,0.495459,66
-0.485151,0.502266,67
-0.440843,0.509041,68
-0.364716,0.515786,69
-0.261249,0.522499,70
-0.136962,0.529179,71
-2.88682e-10,0.535827,72
0.140394,0.542442,73
0.274511,0.549023,74
0.392847,0.55557,75
0.486778,0.562083,76
0.549189,0.568562,77
0.575005,0.575005,78
0.561602,0.581413,79
0.509037,0.587785,80
0.420107,0.594121,81
0.30021,0.60042,82
0.157021,0.606682,83
3.85243e-10,0.612907,84
-0.160233,0.619094,85
-0.312621,0.625243,86
-0.446434,0.631353,87
-0.552025,0.637424,88
-0.621531,0.643456,89
-0.649448,0.649448,90
-0.633068,0.6554,91
-0.572713,0.661312,92
-0.471769,0.667183,93
-0.336506,0.673013,94
-0.175687,0.678801,95
-4.91741e-10,0.684547,96
0.17865,0.690251,97
0.347956,0.695913,98
0.496058,0.701531,99
0.612372,0.707107,100
0.688356,0.712639,101
0.718126,0.718126,102
0.698915,0.72357,103
0.631305,0.728969,104
0.519244,0.734323,105
0.369816,0.739631,106
0.192793,0.744894,107
6.06195e-10,0.750111,108
-0.195481,0.755282,109
-0.380203,0.760406,110
-0.541278,0.765483,111
-0.667284,0.770513,112
-0.749071,0.775496,113
-0.78043,0.78043,114
-0.758558,0.785317,115
-0.684294,0.790155,116
-0.562111,0.794944,117
-0.399842,0.799685,118
-0.208188,0.804376,119
-7.26442e-10,0.809017,120
0.210577,0.813608,121
0.409075,0.81815,122
0.581695,0.822641,123
0.716273,0.827081,124
0.803138,0.83147,125
0.835807,0.835807,126
0.811468,0.840094,127
0.731209,0.844328,128
0.599987,0.84851,129
0.42632,0.85264,130
0.221735,0.856718,131
8.50175e-10,0.860742,132
-0.223804,0.864713,133
-0.434316,0.868632,134
-0.616948,0.872496,135
-0.758904,0.876307,136
-0.850076,0.880063,137
-0.883766,0.883766,138
-0.857176,0.887413,139
-0.771634,0.891007,140
-0.632539,0.894545,141
-0.449014,0.898028,142
-0.233314,0.901455,143
-9.74968e-10,0.904827,144
0.235045,0.908143,145
0.455702,0.911403,146
0.646725,0.914607,147
0.794799,0.917755,148
0.889468,0.920845,149
0.92388,0.92388,150
0.895275,0.926857,151
0.80521,0.929776,152
0.659475,0.932639,153
0.467722,0.935444,154
0.242822,0.938191,155
1.0983e-09,0.940881,156
-0.244199,0.943512,157
-0.473043,0.946085,158
-0.670762,0.9486,159
-0.823639,0.951057,160
-0.920966,0.953454,161
-0.955793,0.955793,162
-0.925427,0.958073,163
-0.831639,0.960294,164
-0.680559,0.962455,165
-0.482279,0.964557,166
-0.250175,0.9666,167
-1.21761e-09,0.968583,168
0.251186,0.970506,169
0.486185,0.97237,170
0.688845,0.974173,171
0.845169,0.975917,172
0.944289,0.9776,173
0.979223,0.979223,174
0.947366,0.980785,175
0.850686,0.982287,176
0.695601,0.983729,177
0.492555,0.985109,178
0.255307,0.986429,179
1.33031e-09,0.987688,180
-0.255943,0.988886,181
-0.495012,0.990024,182
-0.700813,0.9911,183
-0.859197,0.992115,184
-0.95923,0.993068,185
-0.993961,0.993961,186
-0.960895,0.994792,187
-0.862182,0.995562,188
-0.70447,0.99627,189
-0.498459,0.996917,190
-0.258173,0.997503,191
-1.43386e-09,0.998027,192
0.258428,0.998489,193
0.499445,0.99889,194
0.706562,0.999229,195
0.865598,0.999507,196
0.965658,0.999722,197
0.999877,0.999877,198
0.965896,0.999969,199
0.866025,1,200
0.707085,0.999969,201
0.499938,0.999877,202
0.258747,0.999722,203
1.52573e-09,0.999507,204
-0.25862,0.999229,205
-0.499445,0.99889,206
-0.706038,0.998489,207
-0.864316,0.998027,208
-0.963514,0.997503,209
-0.996917,0.996917,210
-0.962323,0.99627,211
-0.862182,0.995562,212
-0.703424,0.994792,213
-0.49698,0.993961,214
-0.257025,0.993068,215
-1.60354e-09,0.992115,216
0.256515,0.9911,217
0.495012,0.990024,218
0.699248,0.988886,219
0.855363,0.987688,220
0.952817,0.986429,221
0.985109,0.985109,222
0.950209,0.983729,223
0.850686,0.982287,224
0.69352,0.980785,225
0.489611,0.979223,226
0.253021,0.9776,227
1.66498e-09,0.975917,228
-0.252135,0.974173,229
-0.486185,0.97237,230
-0.686252,0.970506,231
-0.838818,0.968583,232
-0.933664,0.9666,233
-0.964557,0.964557,234
-0.92966,0.962455,235
-0.831639,0.960294,236
-0.67746,0.958073,237
-0.477897,0.955793,238
-0.246772,0.953454,239
-1.70797e-09,0.951057,240
0.245516,0.9486,241
0.473043,0.946085,242
0.667164,0.943512,243
0.814827,0.940881,244
0.906223,0.938191,245
0.935444,0.935444,246
0.90086,0.932639,247
0.80521,0.929776,248
0.655387,0.926857,249
0.46194,0.92388,250
0.238332,0.920845,251
1.73057e-09,0.917755,252
-0.236718,0.914607,253
-0.455702,0.911403,254
-0.642154,0.908143,255
-0.783603,0.904827,256
-0.870739,0.901455,257
-0.898028,0.898028,258
-0.864064,0.894545,259
-0.771634,0.891007,260
-0.627496,0.887413,261
-0.441883,0.883766,262
-0.227777,0.880063,263
-1.7311e-09,0.876307,264
0.225819,0.872496,265
0.434316,0.868632,266
0.611445,0.864713,267
0.745424,0.860742,268
0.827526,0.856718,269
0.85264,0.85264,270
0.819598,0.84851,271
0.731209,0.844328,272
0.594036,0.840094,273
0.417904,0.835807,274
0.2152,0.83147,275
1.70812e-09,0.827081,276
-0.212915,0.822641,277
-0.409075,0.81815,278
-0.575308,0.813608,279
-0.700629,0.809017,280
-0.776967,0.804376,281
-0.799685,0.799685,282
-0.767857,0.794944,283
-0.684294,0.790155,284
-0.555303,0.785317,285
-0.390215,0.78043,286
-0.200713,0.775496,287
-1.66048e-09,0.770513,288
0.198122,0.765483,289
0.380203,0.760406,290
0.534065,0.755282,291
0.649615,0.750111,292
0.719512,0.744894,293
0.739631,0.739631,294
0.709301,0.734323,295
0.631305,0.728969,296
0.511641,0.72357,297
0.359063,0.718126,298
0.184444,0.712639,299
1.58734e-09,0.707107,300
-0.18157,0.701531,301
-0.347956,0.695913,302
-0.488081,0.690251,303
-0.592835,0.684547,304
-0.655671,0.678801,305
-0.673013,0.673013,306
-0.644449,0.667183,307
-0.572713,0.661312,308
-0.463438,0.6554,309
-0.324724,0.649448,310
-0.166539,0.643456,311
-1.48815e-09,0.637424,312
0.163406,0.631353,313
0.312621,0.625243,314
0.437766,0.619094,315
0.530793,0.612907,316
0.58601,0.606682,317
0.60042,0.60042,318
